Sort Type, Array Type, Array Size, Sorted/Unsorted, Nanoseconds
Quick, [Ljava.lang.String;], 10000, Sorted, -650
Heap, [Ljava.lang.String;], 10000, Unsorted, -650
Heap, [Ljava.lang.String;], 10000, Sorted, -550
Shell, [Ljava.lang.String;], 10000, Unsorted, 29057950
Shell, [Ljava.lang.String;], 10000, Sorted, 14808850
Radix, [Ljava.lang.String;], 10000, Unsorted, 6858950
Radix, [Ljava.lang.String;], 10000, Sorted, 7613450
Selection, [I], 50000, Unsorted, 1550
Selection, [I], 50000, Sorted, -550
Bubble, [I], 50000, Unsorted, -550
Bubble, [I], 50000, Sorted, -750
Insertion, [I], 50000, Unsorted, -750
Insertion, [I], 50000, Sorted, -750
Merge, [I], 50000, Unsorted, -750
Merge, [I], 50000, Sorted, -650
Quick, [I], 50000, Unsorted, -650
Quick, [I], 50000, Sorted, -750
Heap, [I], 50000, Unsorted, -750
Heap, [I], 50000, Sorted, -750
Shell, [I], 50000, Unsorted, 5310050
Shell, [I], 50000, Sorted, 858650
Radix, [I], 50000, Unsorted, 1802050
Radix, [I], 50000, Sorted, 2100250
Selection, [D], 50000, Unsorted, -50
Selection, [D], 50000, Sorted, -450
Bubble, [D], 50000, Unsorted, -550
Bubble, [D], 50000, Sorted, -650
Insertion, [D], 50000, Unsorted, -650
Insertion, [D], 50000, Sorted, -650
Merge, [D], 50000, Unsorted, -750
Merge, [D], 50000, Sorted, -650
Quick, [D], 50000, Unsorted, -250
Quick, [D], 50000, Sorted, -750
Heap, [D], 50000, Unsorted, -750
Heap, [D], 50000, Sorted, -650
Shell, [D], 50000, Unsorted, 7837050
Shell, [D], 50000, Sorted, 1651450
Radix, [D], 50000, Unsorted, 66373150
Radix, [D], 50000, Sorted, 15923250
Selection, [Ljava.lang.String;], 50000, Unsorted, -50
Selection, [Ljava.lang.String;], 50000, Sorted, -550
Bubble, [Ljava.lang.String;], 50000, Unsorted, -650
Bubble, [Ljava.lang.String;], 50000, Sorted, -750
Insertion, [Ljava.lang.String;], 50000, Unsorted, -650
Insertion, [Ljava.lang.String;], 50000, Sorted, -650
Merge, [Ljava.lang.String;], 50000, Unsorted, -650
Merge, [Ljava.lang.String;], 50000, Sorted, -450
Quick, [Ljava.lang.String;], 50000, Unsorted, -650
Quick, [Ljava.lang.String;], 50000, Sorted, -750
Heap, [Ljava.lang.String;], 50000, Unsorted, -650
Heap, [Ljava.lang.String;], 50000, Sorted, -750
Shell, [Ljava.lang.String;], 50000, Unsorted, 183460950
Shell, [Ljava.lang.String;], 50000, Sorted, 79542550
Radix, [Ljava.lang.String;], 50000, Unsorted, 34350250
Radix, [Ljava.lang.String;], 50000, Sorted, 54017950
Selection, [I], 100000, Unsorted, 2250
Selection, [I], 100000, Sorted, -450
Bubble, [I], 100000, Unsorted, -650
Bubble, [I], 100000, Sorted, -750
Insertion, [I], 100000, Unsorted, -650
Insertion, [I], 100000, Sorted, -650
Merge, [I], 100000, Unsorted, -550
Merge, [I], 100000, Sorted, -750
Quick, [I], 100000, Unsorted, -650
Quick, [I], 100000, Sorted, -750
Heap, [I], 100000, Unsorted, -750
Heap, [I], 100000, Sorted, -750
Shell, [I], 100000, Unsorted, 11100950
Shell, [I], 100000, Sorted, 1661250
Radix, [I], 100000, Unsorted, 3888350
Radix, [I], 100000, Sorted, 3596950
Selection, [D], 100000, Unsorted, -250
Selection, [D], 100000, Sorted, -650
Bubble, [D], 100000, Unsorted, -650
Bubble, [D], 100000, Sorted, -750
Insertion, [D], 100000, Unsorted, -650
Insertion, [D], 100000, Sorted, -750
Merge, [D], 100000, Unsorted, -750
Merge, [D], 100000, Sorted, -750
Quick, [D], 100000, Unsorted, -650
Quick, [D], 100000, Sorted, -750
Heap, [D], 100000, Unsorted, -750
Heap, [D], 100000, Sorted, -750
